ID,Village,Pop,Source,State,Locality,X,Y,Remarks
170,Zannuba,,GPS,White Nile,El Jabalian,32.683333,13.183333,
171,Rabak,,Calculated,White Nile,El Jabalian,32.748654,13.1788,
172,Kenana,,TPC,White Nile,El Jabalian,32.91472,13.02227,
173,El hawatah,,NIMA GAZETTEER,White Nile,El Jabalian,32.80783,13.4505,
174,Bordein,,Calculated,White Nile,El Jabalian,32.644532,13.515991,
175,Geziret aba,,GPS,White Nile,El Jabalian,32.616667,13.333333,
176,Abd al ghaffar,,GPS,White Nile,El Jabalian,32.7,13.283333,
177,Makhadat abu zayd,,GPS,White Nile,El Jabalian,32.816667,13.016667,
178,Es suneitir,,GPS,White Nile,El Jabalian,32.75,13.383333,
179,El hideib,,GPS,White Nile,El Jabalian,32.833333,13,
180,Er rahmaniya,,GPS,White Nile,El Jabalian,32.616667,13.3,
181,Hellet abbas,,GPS,White Nile,El Jabalian,32.766667,13.133333,
182,Khadim ar rasul,,GPS,White Nile,El Jabalian,32.85,12.966667,
183,Kidad abu naml,,GPS,White Nile,El Jabalian,32.9,12.7,
184,Mashra magabi,,GPS,White Nile,El Jabalian,32.816667,12.416667,
185,Muhaydat ash sharif,,GPS,White Nile,El Jabalian,32.833333,12.55,
186,Nyefr ar ruqayyiq,,GPS,White Nile,El Jabalian,32.883333,12.783333,
187,Mashra mukhalif,,GPS,White Nile,El Jabalian,32.833333,12.516667,
188,Musran,,GPS,White Nile,El Jabalian,32.783333,12.8,
189,Shawa,,GPS,White Nile,El Jabalian,32.85,12.916667,
190,Shawaiya,,GPS,White Nile,El Jabalian,32.816667,12.65,
191,Umm hanna,,GPS,White Nile,El Jabalian,32.883333,12.566667,
192,Umm koweika,,GPS,White Nile,El Jabalian,32.883333,12.616667,
193,El jabalayn,,Calculated,White Nile,El Jabalian,32.800712,12.589308,
194,Mashra abu ramad,,GPS,White Nile,El Jabalian,32.833333,12.45,
195,Adir island,,GPS,White Nile,El Jabalian,32.766667,12.883333,
196,Babanus,,GPS,White Nile,El Jabalian,32.833333,12.866667,
197,Badariya,,GPS,White Nile,El Jabalian,32.766667,12.266667,
198,Dar muharib,,GPS,White Nile,El Jabalian,32.916667,12.666667,
199,Dunkuj,,GPS,White Nile,El Jabalian,32.816667,12.833333,
200,Bundas,,GPS,White Nile,El Jabalian,32.8,12.75,
201,Faki deros,,GPS,White Nile,El Jabalian,32.833333,12.95,
202,Rahad al kolagi,,GPS,White Nile,El Jabalian,33.05,12.35,
203,Sabagha,,GPS,White Nile,El Jabalian,33.016667,12.466667,
204,Sabagha al farud,,GPS,White Nile,El Jabalian,33.016667,12.483333,
205,Sahalat el weika,,GPS,White Nile,El Jabalian,33.066667,12.4,
206,Qawz tubaynah,,GPS,White Nile,El Jabalian,33.066667,12.466667,
207,Zalengei,,NIMA GAZETTEER,White Nile,El Jabalian,33.10465,12.91667,
208,El hagar,,GPS,White Nile,El Jabalian,33.1,12.283333,
209,Kitrah muhammadiyah,,GPS,White Nile,El Gutaina,32.733333,15.05,
210,Jumah,,GPS,White Nile,El Gutaina,32.6,15.166667,
211,Jumayliyah,,GPS,White Nile,El Gutaina,32.475737,15.166667,
212,Kawahla,,Calculated,White Nile,El Gutaina,32.541667,15,
213,Muhammad al amin,,GPS,White Nile,El Gutaina,32.466667,15.05,
214,Muhammadiya,,GPS,White Nile,El Gutaina,32.483333,15.083333,
215,Malsa',,GPS,White Nile,El Gutaina,32.55,15.15,
216,Mansi,,GPS,White Nile,El Gutaina,32.4,15.133333,
217,Saburi,,GPS,White Nile,El Gutaina,32.633333,15.216667,
218,Saiyala,,GPS,White Nile,El Gutaina,32.366667,15.016667,
219,Qulayy,,GPS,White Nile,El Gutaina,32.416667,15.166667,
220,Qutaynah,,GPS,White Nile,El Gutaina,32.413056,15.172222,
221,Qalat ar rahad,,GPS,White Nile,El Gutaina,32.082778,15.041944,
222,Talha ahmed,,GPS,White Nile,El Gutaina,32.7,15.083333,
223,Sereihab,,GPS,White Nile,El Gutaina,32.416667,15.133333,
224,Sharafat,,GPS,White Nile,El Gutaina,32.65,15.2,
225,Shaykh al husayn,,GPS,White Nile,El Gutaina,32.45,15.05,
226,Shaykh al imam,,GPS,White Nile,El Gutaina,32.483333,15.15,
227,Umar mudauwi,,GPS,White Nile,El Gutaina,32.616667,15,
228,Umm duweinab,,GPS,White Nile,El Gutaina,32.566667,15.15,
229,Umm gangala,,GPS,White Nile,El Gutaina,32.583333,15.233333,
230,Umm haffad,,GPS,White Nile,El Gutaina,32.471202,15.149546,
231,Umm huwayd,,GPS,White Nile,El Gutaina,32.65,15.1,
232,Umm kuway,,GPS,White Nile,El Gutaina,32.633333,15.083333,
233,Umm minqar,,GPS,White Nile,El Gutaina,32.55,15.166667,
234,Wad jar an nabi,,GPS,White Nile,El Gutaina,32.483333,15.183333,
235,Walad garbur,,GPS,White Nile,El Gutaina,32.516667,15.216667,
236,Umm shaba,,GPS,White Nile,El Gutaina,32.45,15.033333,
237,Umm tarafaiya,,GPS,White Nile,El Gutaina,32.666667,15.116667,
238,Umm uweid and far`,,GPS,White Nile,El Gutaina,32.733333,15,
239,Unaynah,,GPS,White Nile,El Gutaina,32.7,15.033333,
240,Uthman `ali,,GPS,White Nile,El Gutaina,32.7,15.166667,
241,Wad al habil,,GPS,White Nile,El Gutaina,32.6,15.116667,
242,Wad al kereil,,Calculated,White Nile,El Gutaina,32.544444,15.083333,
243,Busatab,,Calculated,White Nile,El Gutaina,32.571906,15.19593,
244,Abd an nur,,GPS,White Nile,El Gutaina,32.683333,15.1,
245,Babikr hamza,,GPS,White Nile,El Gutaina,32.466667,15.1,
246,Baga,,GPS,White Nile,El Gutaina,32.383333,15.183333,
247,Baqqarah,,GPS,White Nile,El Gutaina,32.733333,15.116667,
248,El kuburab,,GPS,White Nile,El Gutaina,32.566667,15.183333,
249,Idd ad dukhn,,GPS,White Nile,El Gutaina,32.383333,15.033333,
250,Buraymah,,GPS,White Nile,El Gutaina,32.4,15.033333,
251,El faragab,,GPS,White Nile,El Gutaina,32.633333,15.2,
252,El hag ibrahim,,GPS,White Nile,El Gutaina,32.633333,15.233333,
253,El kereimet,,GPS,White Nile,El Gutaina,32.633333,15.116667,
254,Garbur walad,,GPS,White Nile,El Gutaina,32.5,15.2,
255,El laota,,Calculated,White Nile,El Gutaina,32.627778,15.033333,
256,El Libeik,,GPS,White Nile,El Gutaina,32.467234,15.11576,
257,El mansurab,,GPS,White Nile,El Gutaina,32.666667,15.133333,
258,El qala,,GPS,White Nile,El Gutaina,32.716667,15.166667,
259,El qudeir,,GPS,White Nile,El Gutaina,32.55,15.1,
260,El urus,,GPS,White Nile,El Gutaina,32.7,15.133333,
261,Hamdab abu awad allah,,GPS,White Nile,El Gutaina,32.466667,15.083333,
262,Habib allah,,GPS,White Nile,El Gutaina,32.533333,15.133333,
263,Huggag,,GPS,White Nile,El Gutaina,32.7,15.15,
264,Khayr allah bulayl,,GPS,White Nile,El Gutaina,32.533333,14.766667,
265,Kheiran,,GPS,White Nile,El Gutaina,32.766667,14.85,
266,Kitra,,Calculated,White Nile,El Gutaina,32.775,14.608333,
267,Jammalab,,GPS,White Nile,El Gutaina,32.2,14.6,
268,Kutayr,,GPS,White Nile,El Gutaina,32.416667,14.416667,
269,Migeiga,,GPS,White Nile,El Gutaina,32.55,14.166667,
270,Migeir,,GPS,White Nile,El Gutaina,32.7,14.616667,
271,Muhammadiya,,GPS,White Nile,El Gutaina,32.2,14.333333,
272,Laota,,GPS,White Nile,El Gutaina,32.216667,14.4,
273,Legheir,,GPS,White Nile,El Gutaina,32.533333,14.416667,
274,Munir,,GPS,White Nile,El Gutaina,32.216667,14.5,
275,Muqabila,,GPS,White Nile,El Gutaina,32.633333,14.683333,
276,Musa,,GPS,White Nile,El Gutaina,32.283333,14.7,
277,Naima,,GPS,White Nile,El Gutaina,32.233333,14.6,
278,Matmar,,GPS,White Nile,El Gutaina,32.566667,14.016667,
279,Qabub,,GPS,White Nile,El Gutaina,32.366667,14.7,
280,Qawz mahmud,,GPS,White Nile,El Gutaina,32.683333,14.783333,
281,Qurada,,GPS,White Nile,El Gutaina,32.65,14.883333,
282,Sunayt,,GPS,White Nile,El Gutaina,32.566667,14.616667,
283,Shafi `abd allah,,GPS,White Nile,El Gutaina,32.383333,14.733333,
284,Shasha,,GPS,White Nile,El Gutaina,32.45,14.433333,
285,Shukri,,GPS,White Nile,El Gutaina,32.35,14.283333,
286,Umm asala,,GPS,White Nile,El Gutaina,32.483333,14.3,
287,Umm buwas island,,GPS,White Nile,El Gutaina,32.2,14.683333,
288,Wad az zaki,,GPS,White Nile,El Gutaina,32.216667,14.466667,
289,Wad bilal,,GPS,White Nile,El Gutaina,32.433333,14.933333,
290,Wad burayqah,,Calculated,White Nile,El Gutaina,32.525,14.775,
